No	도메인	분류	서비스명	플랫폼	기능 그룹	기능	설명
1	커머스	쇼핑	쿠팡	앱	상품 조회	카테고리별 상품 목록 조회하기	유형 카테고리별로 분류된 상품 리스트 조회
2	커머스	쇼핑	쿠팡	앱	상품 조회	테마별 상품 목록 조회하기	사용자 특성에 맞는 테마별로 분류된 상품 리스트 조회
3	커머스	쇼핑	쿠팡	앱	상품 조회	배송 종류별 상품 목록 조회하기	새벽, 당일, 해외 배송별로 분류된 상품 리스트 조회
4	커머스	쇼핑	쿠팡	앱	상품 조회	이벤트 상품 목록 조회하기	진행 중인 이벤트 상품 리스트 조회
5	커머스	쇼핑	쿠팡	앱	상품 조회	상품 필터링하기	사용자가 원하는 옵션이 포함된 상품 리스트 조회
6	커머스	쇼핑	쿠팡	앱	상품 조회	상품 상세 정보 조회하기	상품 상세 정보 조회
7	커머스	쇼핑	쿠팡	앱	상품 조회	상품 공유하기	상품 상세 정보 링크를 공유
8	커머스	쇼핑	쿠팡	앱	상품 조회	상품 검색하기	키워드를 상품명에 포함하는 상품 리스트 조회
9	커머스	쇼핑	쿠팡	앱	상품 조회	최근 상품 검색어 조회하기	검색 창에서 사용자가 검색한 검색어 조회
10	커머스	쇼핑	쿠팡	앱	상품 조회	최근 상품 검색어 삭제하기	검색 창에서 사용자가 검색한 검색어 삭제
11	커머스	쇼핑	쿠팡	앱	상품 추천	상품 검색 시 배송 종류별 상품 추천하기	검색 창에서 당일, 새벽 배송이 가능한 검색어 추천
12	커머스	쇼핑	쿠팡	앱	상품 추천	상품 검색 시 고객과 연관된 상품 추천하기	검색 창에서 사용자의 최근 검색, 구매내역과 연관된 인기 검색어 추천
13	커머스	쇼핑	쿠팡	앱	상품 추천	최근 조회 상품과 유사한 상품 추천하기	사용자의 최근 조회 상품과 유사한 상품 리스트를 추천
14	커머스	쇼핑	쿠팡	앱	상품 추천	구매 경험이 있는 상품과 유사 브랜드 추천 상품 조회하기	구매 경험이 있는 상품과 유사 브랜드 상품 리스트 조회
15	커머스	쇼핑	쿠팡	앱	상품 추천	시즌, 타임별 특가 상품 추천하기	시즌, 타임별 특가 상품 리스트를 추천
16	커머스	쇼핑	쿠팡	앱	상품 추천	새벽 배송 상품 추천하기	새벽 배송 상품 리스트를 추천
17	커머스	쇼핑	쿠팡	앱	상품 추천	인기 상품 추천하기	인기 상품 리스트를 추천
18	커머스	쇼핑	쿠팡	앱	상품 추천	구매 경험이 있는 상품 추천하기	사용자의 구매 경험이 있는 상품 리스트를 추천
19	커머스	쇼핑	쿠팡	앱	상품 추천	구매 경험이 있는 상품과 유사한 상품 추천하기	사용자의 구매 경험이 있는 상품과 유사 상품 리스트를 추천
20	커머스	쇼핑	쿠팡	앱	라이브 커머스	실시간 라이브 커머스 방송 시청하기	스트리밍 서비스를 이용해 실시간 라이브 커머스 방송 시청
21	커머스	쇼핑	쿠팡	앱	라이브 커머스	VOD 라이브 커머스 방송 시청하기	녹화된 VOD 라이브 커머스 방송 시청
22	커머스	쇼핑	쿠팡	앱	라이브 커머스	라이브 방송 숏츠 시청하기	편집된 라이브 커머스 숏츠 시청
23	커머스	쇼핑	쿠팡	앱	라이브 커머스	제스쳐를 통해 다음 라이브 커머스 방송 시청하기	위로 스와이프하는 제스쳐를 통해 다음 실시간, VOD, 숏츠 라이브 커머스 시청
24	커머스	쇼핑	쿠팡	앱	라이브 커머스	실시간 라이브 커머스 방송에 댓글 쓰기	실시간 라이브 커머스 방송에 댓글 작성
25	커머스	쇼핑	쿠팡	앱	라이브 커머스	라이브 커머스 방송에 좋아요 평가하기	실시간, VOD, 숏츠 라이브 커머스에 좋아요 평가
26	커머스	쇼핑	쿠팡	앱	라이브 커머스	라이브 공유하기	실시간, VOD, 숏츠 라이브 커머스 방송 링크 공유
